smoothing_kernel,functional_kernel,l,mse,coef0,degree,gamma
rbf,rbf,0.01,0.00045231027537125074,,,
rbf,rbf,0.1,5.949534166311822e-05,,,
rbf,rbf,1.0,8.033527172167858e-06,,,
rbf,rbf,5.0,0.0004051194063857014,,,
rbf,rbf,10.0,0.0017236399173086118,,,
rbf,poly,,0.008457461535833911,0.25,1.0,0.0001
rbf,poly,,0.008201042618599273,0.25,2.0,0.0001
rbf,poly,,0.008323596255951275,0.25,3.0,0.0001
rbf,poly,,0.008686762755743413,0.25,4.0,0.0001
rbf,poly,,0.009487678983604234,0.25,5.0,0.0001
rbf,poly,,0.008457456741237646,0.5,1.0,0.0001
rbf,poly,,0.008191168411452517,0.5,2.0,0.0001
rbf,poly,,0.008070864676957624,0.5,3.0,0.0001
rbf,poly,,0.008078013431454766,0.5,4.0,0.0001
rbf,poly,,0.008156320430991272,0.5,5.0,0.0001
rbf,poly,,0.008457455077180974,1.0,1.0,0.0001
rbf,poly,,0.008188493535196576,1.0,2.0,0.0001
rbf,poly,,0.007731612985701564,1.0,3.0,0.0001
rbf,poly,,0.00719404805729847,1.0,4.0,0.0001
rbf,poly,,0.006667955267388843,1.0,5.0,0.0001
rbf,poly,,0.00845745409815888,5.0,1.0,0.0001
rbf,poly,,0.00818761875579936,5.0,2.0,0.0001
rbf,poly,,0.006211775805942918,5.0,3.0,0.0001
rbf,poly,,0.004693854654922765,5.0,4.0,0.0001
rbf,poly,,0.004538854460385069,5.0,5.0,0.0001
rbf,poly,,0.008454265080923425,0.25,1.0,0.0005
rbf,poly,,0.005667409125286797,0.25,2.0,0.0005
rbf,poly,,0.005967917470231959,0.25,3.0,0.0005
rbf,poly,,0.006858093772143318,0.25,4.0,0.0005
rbf,poly,,0.008144675846227259,0.25,5.0,0.0005
rbf,poly,,0.008454260286327162,0.5,1.0,0.0005
rbf,poly,,0.005660139362814833,0.5,2.0,0.0005
rbf,poly,,0.005261685702575102,0.5,3.0,0.0005
rbf,poly,,0.005232948800896809,0.5,4.0,0.0005
rbf,poly,,0.005381734874096967,0.5,5.0,0.0005
rbf,poly,,0.00845425862227046,1.0,1.0,0.0005
rbf,poly,,0.00565834136107536,1.0,2.0,0.0005
rbf,poly,,0.004847324573952771,1.0,3.0,0.0005
rbf,poly,,0.004561017387768434,1.0,4.0,0.0005
rbf,poly,,0.004319642268554749,1.0,5.0,0.0005
rbf,poly,,0.008454257643248976,5.0,1.0,0.0005
rbf,poly,,0.0056577728559797655,5.0,2.0,0.0005
rbf,poly,,0.004590060217916799,5.0,3.0,0.0005
rbf,poly,,0.004015708433597434,5.0,4.0,0.0005
rbf,poly,,0.002475328041557983,5.0,5.0,0.0005
rbf,poly,,0.008454166730207031,0.25,1.0,0.001
rbf,poly,,0.004792719576396874,0.25,2.0,0.001
rbf,poly,,0.004663693958607295,0.25,3.0,0.001
rbf,poly,,0.0052429730208797525,0.25,4.0,0.001
rbf,poly,,0.00684994430395492,0.25,5.0,0.001
rbf,poly,,0.008454161935610825,0.5,1.0,0.001
