smoothing_kernel,functional_kernel,l,mse,coef0,degree,gamma
rbf,rbf,0.01,1.3841516076418847,,,
rbf,rbf,0.1,1.3841516076418847,,,
rbf,rbf,1.0,1.3841516076419123,,,
rbf,rbf,5.0,1.3971491609332276,,,
rbf,rbf,10.0,1.4180052815481432,,,
rbf,polynomial,,1.435390538557113,0.25,1.0,0.0001
rbf,polynomial,,1.4405337797003308,0.25,2.0,0.0001
rbf,polynomial,,1.440544736934948,0.25,3.0,0.0001
rbf,polynomial,,1.440544757962723,0.25,4.0,0.0001
rbf,polynomial,,1.4405447579604875,0.25,5.0,0.0001
rbf,polynomial,,1.4353905385573682,0.5,1.0,0.0001
rbf,polynomial,,1.4405337869502095,0.5,2.0,0.0001
rbf,polynomial,,1.4405447369659308,0.5,3.0,0.0001
rbf,polynomial,,1.440544757957533,0.5,4.0,0.0001
rbf,polynomial,,1.4405447578396102,0.5,5.0,0.0001
rbf,polynomial,,1.4353905385577854,1.0,1.0,0.0001
rbf,polynomial,,1.4405338014196685,1.0,2.0,0.0001
rbf,polynomial,,1.440544737023567,1.0,3.0,0.0001
rbf,polynomial,,1.4405447579567618,1.0,4.0,0.0001
rbf,polynomial,,1.440544758836981,1.0,5.0,0.0001
rbf,polynomial,,1.4353905385580887,5.0,1.0,0.0001
rbf,polynomial,,1.4405339157569115,5.0,2.0,0.0001
rbf,polynomial,,1.4405447374800633,5.0,3.0,0.0001
rbf,polynomial,,1.4405447579694455,5.0,4.0,0.0001
rbf,polynomial,,1.440544757446594,5.0,5.0,0.0001
rbf,polynomial,,1.439237639306305,0.25,1.0,0.0005
rbf,polynomial,,1.4405442983020498,0.25,2.0,0.0005
rbf,polynomial,,1.4405447578341437,0.25,3.0,0.0005
rbf,polynomial,,1.4405447564674214,0.25,4.0,0.0005
rbf,polynomial,,1.4405447581588204,0.25,5.0,0.0005
rbf,polynomial,,1.4392376393067865,0.5,1.0,0.0005
rbf,polynomial,,1.440544298363352,0.5,2.0,0.0005
rbf,polynomial,,1.440544757839306,0.5,3.0,0.0005
rbf,polynomial,,1.4405447573961556,0.5,4.0,0.0005
rbf,polynomial,,1.4405447559245452,0.5,5.0,0.0005
rbf,polynomial,,1.4392376393065223,1.0,1.0,0.0005
rbf,polynomial,,1.4405442984850931,1.0,2.0,0.0005
rbf,polynomial,,1.4405447578415245,1.0,3.0,0.0005
rbf,polynomial,,1.440544759124629,1.0,4.0,0.0005
rbf,polynomial,,1.4405447575332773,1.0,5.0,0.0005
rbf,polynomial,,1.439237639306356,5.0,1.0,0.0005
rbf,polynomial,,1.440544299449331,5.0,2.0,0.0005
rbf,polynomial,,1.4405447578395218,5.0,3.0,0.0005
rbf,polynomial,,1.4405447572817789,5.0,4.0,0.0005
rbf,polynomial,,1.4405447629297232,5.0,5.0,0.0005
rbf,polynomial,,1.4398516758184536,0.25,1.0,0.001
rbf,polynomial,,1.4405446423317898,0.25,2.0,0.001
rbf,polynomial,,1.440544757976695,0.25,3.0,0.001
rbf,polynomial,,1.4405447585025521,0.25,4.0,0.001
rbf,polynomial,,1.4405447577810682,0.25,5.0,0.001
rbf,polynomial,,1.439851675818605,0.5,1.0,0.001
rbf,polynomial,,1.4405446423396446,0.5,2.0,0.001
rbf,polynomial,,1.440544757971204,0.5,3.0,0.001
rbf,polynomial,,1.440544761861095,0.5,4.0,0.001
rbf,polynomial,,1.4405447592999907,0.5,5.0,0.001
rbf,polynomial,,1.4398516758179234,1.0,1.0,0.001
rbf,polynomial,,1.4405446423546058,1.0,2.0,0.001
rbf,polynomial,,1.4405447579928419,1.0,3.0,0.001
rbf,polynomial,,1.4405447494271904,1.0,4.0,0.001
rbf,polynomial,,1.440544759014974,1.0,5.0,0.001
rbf,polynomial,,1.439851675818801,5.0,1.0,0.001
rbf,polynomial,,1.4405446424755433,5.0,2.0,0.001
rbf,polynomial,,1.4405447579945785,5.0,3.0,0.001
rbf,polynomial,,1.4405447588113451,5.0,4.0,0.001
rbf,polynomial,,1.440544757575722,5.0,5.0,0.001
rbf,polynomial,,1.4403924487780047,0.25,1.0,0.005
rbf,polynomial,,1.440544753352996,0.25,2.0,0.005
rbf,polynomial,,1.440544758560047,0.25,3.0,0.005
rbf,polynomial,,1.4405447591394454,0.25,4.0,0.005
rbf,polynomial,,1.4405447578134705,0.25,5.0,0.005
rbf,polynomial,,1.4403924487781428,0.5,1.0,0.005
rbf,polynomial,,1.4405447533569022,0.5,2.0,0.005
rbf,polynomial,,1.4405447346882905,0.5,3.0,0.005
rbf,polynomial,,1.4405447574517023,0.5,4.0,0.005
rbf,polynomial,,1.440544768391905,0.5,5.0,0.005
rbf,polynomial,,1.4403924487781132,1.0,1.0,0.005
